Character	Comics
Jean Grey (Ultimate)	Ultimate X-Men (2000) #1
Jean Grey (Ultimate)	Ultimate X-Men (2000) #2
Jean Grey (Ultimate)	Ultimate X-Men (2000) #3
Jean Grey (Ultimate)	Ultimate X-Men (2000) #4
Jean Grey (Ultimate)	Ultimate X-Men (2000) #5
Jean Grey (Ultimate)	Ultimate X-Men (2000) #6
Jean Grey (Ultimate)	Ultimate X-Men (2000) #7
Jean Grey (Ultimate)	Ultimate X-Men (2000) #8
Jean Grey (Ultimate)	Ultimate X-Men (2000) #9
Jean Grey (Ultimate)	Ultimate X-Men (2000) #10
Jean Grey (Ultimate)	Ultimate X-Men (2000) #11
Jean Grey (Ultimate)	Ultimate X-Men (2000) #12
Jean Grey (Ultimate)	Ultimate X-Men (2000) #15
Jean Grey (Ultimate)	Ultimate X-Men (2000) #16
Jean Grey (Ultimate)	Ultimate X-Men (2000) #17
Sabretooth	Avengers 1959 (2011) #1
Sabretooth	Avengers 1959 (2011) #3
Sabretooth	Clandestine Classic Premiere (Hardcover)
Sabretooth	Essential Wolverine Vol. 4 (Trade Paperback)
Sabretooth	Essential X-Men Vol. 6 (All-New Edition) (Trade Paperback)
Sabretooth	Exiles (2001) #91
Sabretooth	Exiles Vol. 15: Enemy of the Stars (Trade Paperback)
Sabretooth	Hulk Vol. 1: Red Hulk (Trade Paperback)
Sabretooth	Marvel Weddings (Trade Paperback)
Sabretooth	New Avengers (2010) #10
Sabretooth	Paradise X (2002) #4
Sabretooth	Paradise X Vol. 1 (Trade Paperback)
Sabretooth	Peter Parker, the Spectacular Spider-Man (1976) #116
Sabretooth	Peter Parker, the Spectacular Spider-Man (1976) #119
Sabretooth	Sabretooth (2004) #1
Sabretooth	Sabretooth (2004) #2
Sabretooth	Sabretooth (2004) #3
Sabretooth	Sabretooth (2004) #4
Sabretooth	Sabretooth: Open Season (Trade Paperback)
Sabretooth	Thor (1966) #374
Retro Girl	Powers: Who Killed Retro Girl? (Hardcover)
Sunfire	Avengers Assemble Vol. 4 (Hardcover)
Sunfire	Cable (1993) #76
Sunfire	Cable (1993) #77
Sunfire	Earth X (1999) #8
Sunfire	Earth X (1999) #9
Sunfire	Earth X (1999) #10
Sunfire	Earth X (1999) #12
Sunfire	Earth X (New (Trade Paperback)
Sunfire	Exiles (2001) #7
Sunfire	Exiles (2001) #8
Sunfire	Exiles (2001) #9
Sunfire	Exiles (2001) #10
Sunfire	Exiles (2001) #11
Sunfire	Exiles (2001) #14
Sunfire	Exiles (2001) #15
Sunfire	Exiles (2001) #17
Sunfire	Exiles Vol. 3: Out of Time (Trade Paperback)
Sunfire	Exiles Vol. II: A World Apart (Trade Paperback)
Sunfire	Iron Man (1968) #70
Sunfire	Iron Man (1968) #98
Confederates of the Curious	Immortal Iron Fist (2006) #10
Red Hulk	Amazing Spider-Man (1999) #669 (Slott Variant)
Red Hulk	Amazing Spider-Man (1999) #669 (Architect Variant)
Red Hulk	Amazing Spider-Man (1999) #669 (Architect Sketch Variant)
Red Hulk	Annihilators: Earthfall (2011) #2
Red Hulk	Avengers (2010) #7
Red Hulk	Avengers (2010) #7 (MCGUINNESS VARIANT)
Red Hulk	Avengers (2010) #8
Red Hulk	Avengers (2010) #9
Red Hulk	Avengers (2010) #11
Red Hulk	Avengers (2010) #11 (CAPTAIN AMERICA 70TH ANNIVERSARY VARIANT)
Red Hulk	Avengers (2010) #14
Red Hulk	Avengers By Brian Michael Bendis Vol. 2 Premiere HC (Hardcover)
Red Hulk	Avengers VS X-Men (2012) #12
Red Hulk	Avengers: X-Sanction (2011) #3
Red Hulk	Avenging Spider-Man (2011) #1
Red Hulk	Avenging Spider-Man (2011) #1 (J. Scott Campbell Variant)
Red Hulk	Avenging Spider-Man (2011) #1 (Blank Cover Variant)
Red Hulk	Avenging Spider-Man (2011) #1 (Quesada Variant )
Red Hulk	Avenging Spider-Man (2011) #1 (Quesada Sketch Variant)
Red Hulk	Avenging Spider-Man (2011) #1 (Humberto Ramos Variant)
MVP	Avengers: The Initiative (2007) #11
MVP	Avengers: The Initiative Annual (2007) #1
MVP	Secret Invasion: The Infiltration (Trade Paperback)
Sentinels	Excalibur Visionaries: Alan Davis Vol. 3 TPB (Trade Paperback)
Sentinels	Uncanny X-Men (1963) #68
Sentinels	Uncanny X-Men (1963) #500 (DODSON VARIANT)
Sentinels	Uncanny X-Men (1963) #500 (TURNER VARIANT)
Sentinels	Uncanny X-Men (1963) #500 (ROSS WRAPAROUND)
Sentinels	X-51 (1999) #7
Sentinels	X-51 (1999) #8
Sentinels	X-Factor Annual (1986) #5
Sentinels	X-Men Vs. Apocalypse Vol. 2: Ages of Apocalypse (Trade Paperback)
Sentinels	X-Men: Schism (2011) #1
Sentinels	X-Men: Schism (2011) #1 (Cho Variant)
Sentinels	X-Men: Schism (2011) #1 (Blank Cover Variant)
Sentinels	X-Men: Schism (2011) #1 (Bradshaw Variant)
Sentinels	X-Men: Schism (2011) #2
Sentinels	X-Men: Schism (2011) #3 (2nd Printing Variant)
Leech	Amazing Spider-Man (1999) #673
Leech	X-Factor Annual (1986) #2
Leech	X-Factor Annual (1986) #3
Leech	X-Factor Annual (1986) #4
Wolfsbane	Cable (2008) #7
Wolfsbane	Earth X (1999) #6
Wolfsbane	Earth X (New (Trade Paperback)
Wolfsbane	Excalibur (1988) #78
Wolfsbane	Excalibur (1988) #90
Wolfsbane	Excalibur (1988) #92
Wolfsbane	Excalibur (1988) #93
Wolfsbane	Excalibur (1988) #94
Wolfsbane	Excalibur (1988) #97
Wolfsbane	Excalibur (1988) #98
Wolfsbane	Excalibur (1988) #99
Wolfsbane	Excalibur (1988) #100
Wolfsbane	Excalibur (1988) #101
Wolfsbane	Excalibur (1988) #102
Wolfsbane	Excalibur (1988) #104
Wolfsbane	Excalibur (1988) #105
Wolfsbane	Excalibur (1988) #106
Wolfsbane	Excalibur (1988) #107
Wolfsbane	Excalibur (1988) #109
Wolfsbane	Excalibur (1988) #110
Dust	New X-Men (Hardcover)
Dust	New X-Men (2004) #25
Dust	New X-Men (2004) #27
Dust	New X-Men (2001) #133
Dust	New X-Men (2001) #138
Dust	New X-Men Vol. III: New Worlds (Trade Paperback)
Dust	New X-Men: Childhood's End Vol. 2 (Trade Paperback)
Dust	Runaways (2008) #10
The Enforcers	Amazing Spider-Man (1999) #563
Spencer Smythe	Amazing Spider-Man (1999) #651
Spencer Smythe	Amazing Spider-Man (1999) #651 (2nd Printing Variant)
Spencer Smythe	Amazing Spider-Man (1999) #651 (TRON VARIANT)
Spencer Smythe	Human Torch (1940) #9
Power Pack	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (Hardcover)
Power Pack	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (DM Only) (Hardcover)
Power Pack	Avengers and Power Pack Assemble! (Digest)
Power Pack	Avengers and Power Pack Assemble! (2006) #1
Power Pack	Avengers and Power Pack Assemble! (2006) #2
Power Pack	Avengers and Power Pack Assemble! (2006) #3
Power Pack	Avengers and Power Pack Assemble! (2006) #4
Power Pack	Essential X-Men Vol. 5 (All-New Edition) (Trade Paperback)
Power Pack	Essential X-Men Vol. 6 (All-New Edition) (Trade Paperback)
Power Pack	Fantastic Four and Power Pack (2007) #1
Power Pack	Fantastic Four and Power Pack (2007) #2
Power Pack	Fantastic Four and Power Pack (2007) #3
Power Pack	Fantastic Four and Power Pack (2007) #4
Power Pack	Fantastic Four and Power Pack: Favorite Son (Digest)
Power Pack	Hulk and Power Pack (2007) #1
Power Pack	Hulk and Power Pack (2007) #2
Power Pack	Hulk and Power Pack (2007) #3
Power Pack	Hulk and Power Pack (2007) #4
Power Pack	Hulk and Power Pack: Pack Smash! (Digest)
Power Pack	Iron Man and Power Pack (2007) #1
Black Tarantula	Amazing Spider-Girl (2006) #5
Black Tarantula	Amazing Spider-Girl Vol. 1: Whatever Happened to the Daughter of Spider-Man (Trade Paperback)
Miek	Incredible Hulk (1999) #93
Miek	Incredible Hulk (1999) #96
Blue Marvel	Adam: Legend of the Blue Marvel (Trade Paperback)
Blue Marvel	Adam: Legend of the Blue Marvel (2008) #1
Blue Marvel	Adam: Legend of the Blue Marvel (2008) #2
Blue Marvel	Adam: Legend of the Blue Marvel (2008) #3
Blue Marvel	Adam: Legend of the Blue Marvel (2008) #4
Blue Marvel	Adam: Legend of the Blue Marvel (2008) #5
Blue Marvel	Age of Heroes (Trade Paperback)
Blue Marvel	Fear Itself: The Home Front (2010) #4
Blue Marvel	Mighty Avengers (2013) #10
Meltdown	Cable (1993) #73
Meltdown	Cable (1993) #78
Meltdown	Counter X Vol. 1 (Trade Paperback)
Meltdown	Uncanny X-Men (1963) #379
Meltdown	Uncanny X-Men (1963) #388
Meltdown	X-Force (1991) #51
Meltdown	X-Force (1991) #52
Meltdown	X-Force (1991) #53
Meltdown	X-Force (1991) #54
Meltdown	X-Force (1991) #55
Meltdown	X-Force (1991) #57
Meltdown	X-Force (1991) #58
Meltdown	X-Force (1991) #59
Meltdown	X-Force (1991) #60
Meltdown	X-Force (1991) #61
Meltdown	X-Force (1991) #62
Meltdown	X-Force (1991) #63
Meltdown	X-Force (1991) #64
Meltdown	X-Force (1991) #65
Meltdown	X-Force (1991) #66
X-Man	Age of Apocalypse: The Chosen (1995) #1
X-Man	Avengers Assemble Vol. 4 (Hardcover)
X-Man	Cable (1993) #29
X-Man	Cable (1993) #30
X-Man	Cable (1993) #31
X-Man	Cable (1993) #78
X-Man	Maximum Security (2000) #1
X-Man	New Mutants (2010) #23 (2nd Printing Variant)
X-Man	New Mutants (2009) #25
X-Man	New Mutants (2010) #25 (Adams Variant )
X-Man	New Mutants (2009) #25 (X-Man Variant)
X-Man	New Mutants (2009) #27
X-Man	New Mutants (2010) #27 (I Am Captain America Variant)
X-Man	New Mutants (2009) #28
X-Man	New Mutants (2009) #31
X-Man	New Mutants (2010) #33
X-Man	New Mutants (2010) #33 (Keown Variant)
X-Man	Onslaught: Marvel Universe (1996) #1
X-Man	Uncanny X-Men (1963) #334
X-Man	Uncanny X-Men (1963) #335
Chores MacGillicudy	Immortal Iron Fist (2006) #10
Apocalypse	Cable (1993) #8
Apocalypse	Cable (2008) #14
Apocalypse	Cable (2008) #14 (OLIVETTI (MW, 50/50 COVER))
Apocalypse	Cable (2008) #15
Apocalypse	Cable (2008) #15 (OLIVETTI (MW, 50/50 COVER))
Apocalypse	Cable (1993) #35
Apocalypse	Cable (1993) #75
Apocalypse	Essential X-Factor Vol. 2 (All-New Edition) (Trade Paperback)
Apocalypse	Incredible Hulk (1962) #456
Apocalypse	Mystic Comics 70th Anniversary Special (2009) #1 (MARTIN VARIANT)
Apocalypse	New Avengers Annual (2009) #3
Apocalypse	Official Handbook of the Marvel Universe (2004) #8
Apocalypse	Official Handbook of the Marvel Universe (2004) #9 (THE WOMEN OF MARVEL)
Apocalypse	Official Handbook of the Marvel Universe (2004) #10 (MARVEL KNIGHTS)
Apocalypse	Official Handbook of the Marvel Universe (2004) #11 (X-MEN - AGE OF APOCALYPSE)
Apocalypse	Official Handbook of the Marvel Universe (2004) #12 (SPIDER-MAN)
Apocalypse	Official Handbook of the Marvel Universe (2004) #13 (TEAMS)
Apocalypse	Onslaught: Marvel Universe (1996) #1
Apocalypse	Uncanny X-Force (2010) #4
Apocalypse	Uncanny X-Men (1963) #295
Dormammu (Ultimate)	Ultimate Marvel Team-Up (2001) #12
Dormammu (Ultimate)	Ultimate Marvel Team-Up Ultimate Collection (Trade Paperback)
Skrulls (Ultimate)	Ultimate Marvel Team-Up (2001) #9
Skrulls (Ultimate)	Ultimate Marvel Team-Up Ultimate Collection (Trade Paperback)
Hellcat (Patsy Walker)	Avengers (1996) #1
Hellcat (Patsy Walker)	Avengers (1996) #2
Hellcat (Patsy Walker)	Avengers (1996) #3
Hellcat (Patsy Walker)	Avengers (1996) #4
Hellcat (Patsy Walker)	Avengers (1996) #6
Hellcat (Patsy Walker)	Avengers (1996) #7
Hellcat (Patsy Walker)	Avengers (1996) #8
Hellcat (Patsy Walker)	Avengers (1996) #9
Hellcat (Patsy Walker)	Avengers (1998) #10
Hellcat (Patsy Walker)	Avengers (1998) #11
Hellcat (Patsy Walker)	Avengers (1998) #27
Hellcat (Patsy Walker)	Avengers Assemble (Hardcover)
Hellcat (Patsy Walker)	Avengers Assemble Vol. 2 (Hardcover)
Hellcat (Patsy Walker)	Avengers Assemble Vol. 3 (Hardcover)
Hellcat (Patsy Walker)	Avengers Forever (1998) #12
Hellcat (Patsy Walker)	Avengers Legends Vol. I: Avengers Forever (Trade Paperback)
Hellcat (Patsy Walker)	Defenders (1972) #46
Hellcat (Patsy Walker)	Defenders (1972) #49
Hellcat (Patsy Walker)	Defenders (1972) #57
Hellcat (Patsy Walker)	Heralds (Trade Paperback)
Jack Power	X-Factor Annual (1986) #2
Gauntlet	Age of Heroes (Trade Paperback)
Gauntlet	Avengers: The Initiative (2007) #6
Gauntlet	Avengers: The Initiative (2007) #15
Gauntlet	Avengers: The Initiative (2007) #20
Gauntlet	Avengers: The Initiative (2007) #21
Gauntlet	Avengers: The Initiative (2007) #22
Gauntlet	Avengers: The Initiative (2007) #23
Gauntlet	Avengers: The Initiative (2007) #24
Gauntlet	Avengers: The Initiative (2007) #25
Gauntlet	Avengers: The Initiative (2007) #27
Gauntlet	Avengers: The Initiative (2007) #27 (70TH FRAME VARIANT)
Gauntlet	Avengers: The Initiative (2007) #33
Gauntlet	Avengers: The Initiative (2007) #33 (DEADPOOL VARIANT)
Gauntlet	Avengers: The Initiative (2007) #35
Gauntlet	Avengers: The Initiative Annual (2007) #1
Gauntlet	Cable (1993) #17
Gauntlet	Secret Invasion: The Infiltration (Trade Paperback)
Gauntlet	Wolverine (1988) #99
Gauntlet	Wolverine (1988) #100
Gauntlet	X-Factor (1986) #65
Thunderbird (John Proudstar)	Avengers Assemble Vol. 4 (Hardcover)
Thunderbird (John Proudstar)	Chaos War: X-Men (2010) #1
Thunderbird (John Proudstar)	Classic X-Men (1986) #3
Thunderbird (John Proudstar)	Earth X (1999) #6
Thunderbird (John Proudstar)	Earth X (1999) #7
Thunderbird (John Proudstar)	Earth X (New (Trade Paperback)
Thunderbird (John Proudstar)	Exiles (2001) #7
Thunderbird (John Proudstar)	Exiles (2001) #8
Thunderbird (John Proudstar)	Exiles (2001) #9
Thunderbird (John Proudstar)	Exiles (2001) #10
Thunderbird (John Proudstar)	Exiles (2001) #11
Thunderbird (John Proudstar)	Exiles (2001) #16
Thunderbird (John Proudstar)	Exiles Vol. 3: Out of Time (Trade Paperback)
Thunderbird (John Proudstar)	Exiles Vol. II: A World Apart (Trade Paperback)
Thunderbird (John Proudstar)	Marvel Masterworks: The Uncanny X-Men Vol. (Hardcover)
Thunderbird (John Proudstar)	Maximum Security (2000) #3
Thunderbird (John Proudstar)	New X-Men (Hardcover)
Thunderbird (John Proudstar)	New X-Men (2001) #132
Thunderbird (John Proudstar)	New X-Men Vol. III: New Worlds (Trade Paperback)
Thunderbird (John Proudstar)	Paradise X (2002)
Gwen Stacy	Amazing Spider-Man (1999) #7
Gwen Stacy	Amazing Spider-Man (1999) #655
Gwen Stacy	Amazing Spider-Man (1999) #655 (2nd Printing Variant)
Gwen Stacy	Amazing Spider-Man Annual (1964) #5
Gwen Stacy	Amazing Spider-Man Annual (1964) #16
Gwen Stacy	Deadpool (1997) #11
Gwen Stacy	Marvel Masterworks: The Amazing Spider-Man Vol. 7 - (Hardcover)
Gwen Stacy	Spider-Man: The Original Clone Saga (Trade Paperback)
Gwen Stacy	Spider-Man: With Great Power Comes Great Responsibility (2010) #1
Gwen Stacy	Ultimate Comics Spider-Man Vol. 2 (Trade Paperback)
Gwen Stacy	X-Statix Presents: Dead Girl (Trade Paperback)
Gwen Stacy	X-Statix Presents: Dead Girl (2006) #1
Carnage	Amazing Spider-Man (1963) #394
Carnage	Carnage (2010) #1
Carnage	Carnage (2010) #1
Carnage	Carnage (2010) #1 (2nd Printing Variant)
Carnage	Carnage (2010) #1 (ADAMS VARIANT)
Carnage	Carnage (2010) #2
Carnage	Carnage (2010) #2 (2nd Printing Variant)
Carnage	Carnage (2010) #3
Carnage	Carnage (2010) #3 (2nd Printing Variant)
Carnage	Carnage (2010) #4
Carnage	Carnage (2010) #5
Carnage	Carnage, U.S.A. (2011) #1
Carnage	Carnage, U.S.A. (2011) #2
Carnage	Peter Parker, the Spectacular Spider-Man (1976) #201
Carnage	Peter Parker, the Spectacular Spider-Man (1976) #202
Carnage	Peter Parker, the Spectacular Spider-Man (1976) #203
Carnage	Peter Parker, the Spectacular Spider-Man (1976) #233
Carnage	Peter Parker: Spider-Man (1999) #10
Carnage	Peter Parker: Spider-Man (1999) #13
Carnage	Spider-Man Family Featuring Spider-Clan (2006) #1
Blue Blade	USA Comics (1941) #5
Pepper Potts	Black Widow (2010) #2
Pepper Potts	Invincible Iron Man (2008) #1
Pepper Potts	Invincible Iron Man (2008) #2
Pepper Potts	Invincible Iron Man (2008) #3
Pepper Potts	Invincible Iron Man (2008) #4
Pepper Potts	Invincible Iron Man (2008) #5
Pepper Potts	Invincible Iron Man (2008) #6
Pepper Potts	Invincible Iron Man (2008) #25 (IRON MAN BY DESIGN VARIANT)
Pepper Potts	Invincible Iron Man (2008) #25 (TRIMPE VARIANT)
Pepper Potts	Invincible Iron Man (2008) #25 (2ND PRINTING VARIANT)
Pepper Potts	Invincible Iron Man (2008) #25 (MOVIE VARIANT)
Pepper Potts	Invincible Iron Man (2008) #26 (HEROIC AGE VARIANT)
Pepper Potts	Invincible Iron Man (2008) #27 (IRON MAN BY DESIGN 2.0 VARIANT)
Pepper Potts	Invincible Iron Man (2008) #500 (LARROCA VARIANT)
Pepper Potts	Invincible Iron Man (2008) #500 (ADAMS VARIANT)
Pepper Potts	Invincible Iron Man (2008) #500 (QUESADA VARIANT)
Pepper Potts	Invincible Iron Man (2008) #500 (DJURDJEVIC VARIANT)
Pepper Potts	Invincible Iron Man (2008) #500.1
Pepper Potts	Invincible Iron Man (2008) #502
Pepper Potts	Invincible Iron Man (2008) #502 (CAPTAIN AMERICA 70TH ANNIVERSARY VARIANT)
Hiroim	Incredible Hulk (1999) #101
Stingray (Walter Newell)	Alpha Flight (1983) #113
Stingray (Walter Newell)	Avengers (1998) #1
Stingray (Walter Newell)	Avengers (1998) #2
Stingray (Walter Newell)	Avengers (1998) #3
Stingray (Walter Newell)	Avengers (1998) #4
Stingray (Walter Newell)	Avengers (1998) #43
Stingray (Walter Newell)	Avengers (1998) #44
Stingray (Walter Newell)	Avengers (1998) #46
Stingray (Walter Newell)	Avengers (1998) #52
Stingray (Walter Newell)	Avengers (1998) #53
Stingray (Walter Newell)	Avengers (1998) #54
Stingray (Walter Newell)	Avengers (1998) #55
Stingray (Walter Newell)	Avengers Assemble (Hardcover)
Stingray (Walter Newell)	Avengers: The Initiative (2007) #8
Stingray (Walter Newell)	Avengers: The Kang Dynasty (Trade Paperback)
Stingray (Walter Newell)	Defenders (1972) #63
Stingray (Walter Newell)	Fantastic Four (1961) #386
Stingray (Walter Newell)	Iron Man (1968) #229
Stingray (Walter Newell)	Iron Man: Armor Wars (Trade Paperback)
Stingray (Walter Newell)	Marvel Comics Presents (1988) #53
Bloke	X-Force (1991) #117
Bloke	X-Force (1991) #118
Bloke	X-Force: Famous, Mutant & Mortal (Hardcover)
Mystique (House of M)	Wolverine (2003) #34
Miss America	All-Winners Comics (1941) #19
Miss America	All-Winners Comics (1941) #21
Miss America	Avengers (1963) #186
Miss America	Marvel Mystery Comics (1939) #49
Miss America	Marvel Mystery Comics (1939) #50
Miss America	Marvel Mystery Comics (1939) #51
Miss America	Marvel Mystery Comics (1939) #52
Miss America	Marvel Mystery Comics (1939) #53
Miss America	Marvel Mystery Comics (1939) #54
Miss America	Marvel Mystery Comics (1939) #55
Miss America	Marvel Mystery Comics (1939) #56
Miss America	Marvel Mystery Comics (1939) #57
Miss America	Marvel Mystery Comics (1939) #58
Miss America	Marvel Mystery Comics (1939) #59
Miss America	Marvel Mystery Comics (1939) #60
Miss America	Marvel Mystery Comics (1939) #61
Miss America	Marvel Mystery Comics (1939) #62
Miss America	Marvel Mystery Comics (1939) #63
Miss America	Marvel Mystery Comics (1939) #64
Miss America	Marvel Mystery Comics (1939) #65
Radioactive Man	Avengers (1996) #8
Radioactive Man	Avengers (1996) #9
Radioactive Man	Avengers (1963) #83
Radioactive Man	Avengers Annual (1967) #4
Radioactive Man	Heroes Reborn: Avengers (Trade Paperback)
Radioactive Man	Iron Man (1998) #38
Radioactive Man	Iron Man (1998) #39
Radioactive Man	New Thunderbolts (2004) #6
Radioactive Man	New Thunderbolts (2004) #10
Radioactive Man	New Thunderbolts (2004) #13
Radioactive Man	New Thunderbolts Vol. 1: One Step Forward (Trade Paperback)
Radioactive Man	New Thunderbolts Vol. 2: Modern Marvels (Trade Paperback)
Radioactive Man	New Thunderbolts Vol. 3: Right of Power (Trade Paperback)
Radioactive Man	Spider-Man's Tangled Web (2001) #13
Radioactive Man	Spider-Man's Tangled Web Vol. III (Trade Paperback)
Radioactive Man	Thunderbolts (2006) #106
Radioactive Man	Thunderbolts (2006) #116
Radioactive Man	Thunderbolts: Guardian Protocols (Trade Paperback)
Radioactive Man	Women of Marvel Vol. 2 (Trade Paperback)
Firebrand	Iron Man (1998) #4
Firebrand	Iron Man (1998) #5
Firebrand	Iron Man (1998) #11
Firebrand	Iron Man (1968) #59
Firebrand	Sub-Mariner Comics (1941) #25
Living Lightning	Avengers (1998) #1
Living Lightning	Avengers (1998) #2
Living Lightning	Avengers (1998) #3
Living Lightning	Avengers (1998) #4
Living Lightning	Avengers (1998) #27
Living Lightning	Avengers (1998) #38
Living Lightning	Avengers (1998) #47
Living Lightning	Avengers (1998) #48
Living Lightning	Avengers (1998) #50
Living Lightning	Avengers (1998) #52
Living Lightning	Avengers (1998) #53
Living Lightning	Avengers (1998) #55
Living Lightning	Avengers Assemble (Hardcover)
Living Lightning	Avengers Assemble Vol. 3 (Hardcover)
Living Lightning	Avengers Assemble Vol. 4 (Hardcover)
Living Lightning	Avengers West Coast Annual (1989) #6
Living Lightning	Avengers West Coast Annual (1989) #7
Living Lightning	Avengers: The Kang Dynasty (Trade Paperback)
Super Hero Squad	Super Hero Squad (2010) #1
Super Hero Squad	Super Hero Squad (2010) #2
Super Hero Squad	Super Hero Squad (2010) #3
Super Hero Squad	Super Hero Squad (2010) #4
Super Hero Squad	Super Hero Squad (2010) #5
Super Hero Squad	Super Hero Squad (2010) #6
Super Hero Squad	Super Hero Squad (2010) #7
Super Hero Squad	Super Hero Squad (2010) #8
Super Hero Squad	Super Hero Squad (2010) #9
Super Hero Squad	Super Hero Squad (2010) #10
Super Hero Squad	Super Hero Squad (2010) #11
Super Hero Squad	Super Hero Squad (2010) #12
Super Hero Squad	Super Hero Squad Mmo Magazine (2011) #1
Super Hero Squad	Super Hero Squad Spectacular (2011) #1
Super Hero Squad	Super Hero Squad Vol. 3 GN-TPB (Graphic Novel)
Super Hero Squad	Super Hero Squad: Super Hero Safari GN-TPB (Graphic Novel)
Juggernaut	Amazing Adventures (1970) #16
Juggernaut	Amazing Spider-Man (1999) #627
Juggernaut	Amazing Spider-Man (1999) #628
Juggernaut	Amazing Spider-Man (1999) #629
Juggernaut	Amazing Spider-Man (1999) #647
Juggernaut	Avengers (1998) #24
Juggernaut	Avengers (1998) #25
Juggernaut	Avengers (1998) #60
Juggernaut	Avengers Academy (2010) #3
Juggernaut	Avengers Academy (2010) #3 (WOMEN OF MARVEL VARIANT)
Juggernaut	Avengers Academy (2010) #3 (MCKONE VARIANT)
Juggernaut	Avengers Assemble Vol. 3 (Hardcover)
Juggernaut	Avengers Icons: Vision (2002) #4
Juggernaut	Avengers Next (2006) #3
Juggernaut	Avengers Next: Rebirth (Trade Paperback)
Juggernaut	Avengers Vol. 1: World Trust (Trade Paperback)
Juggernaut	Avengers VS X-Men (2012) #2
Juggernaut	Avengers Vs. X-Men: Versus (2011) #2
Juggernaut	Call, the Vol. 1: The Brotherhood & the Wagon (Trade Paperback)
Juggernaut	Call, the Vol. 2: The Precinct (Trade Paperback)
Scorpion (Carmilla Black)	Amazing Fantasy (2004) #7
Scorpion (Carmilla Black)	Amazing Fantasy (2004) #9
Scorpion (Carmilla Black)	Incredible Hulk (1999) #87
Scorpion (Carmilla Black)	Incredible Hulk (1999) #108
Scorpion (Carmilla Black)	Scorpion: Poison Tomorrow (Digest)
Giant-Man (Ultimate)	Marvel Masterworks: The Avengers Vol. 3 (Trade Paperback)
Giant-Man (Ultimate)	Ultimates 2 (2004) #7
Giant-Man (Ultimate)	Ultimates 2 (2004) #13
Giant-Man (Ultimate)	Ultimates 2 Vol. 2: Grand Theft America (Trade Paperback)
Giant-Man (Ultimate)	Ultimates 3 (2007) #1
Giant-Man (Ultimate)	Ultimates 3 (2007) #1 (Villains Gatefold)
Giant-Man (Ultimate)	Ultimates 3: Who Killed the Scarlet Witch? (Trade Paperback)
Werewolf By Night	Doctor Strange, Sorcerer Supreme (1988) #26
Werewolf By Night	Doctor Strange, Sorcerer Supreme (1988) #27
Werewolf By Night	Giant-Size Creatures (1974) #1
Werewolf By Night	Giant-Size Marvel (Trade Paperback)
Werewolf By Night	Legion of Monsters (2011) #1
Werewolf By Night	Marvel Comics Presents (1988) #54
Werewolf By Night	Marvel Comics Presents (1988) #55
Werewolf By Night	Marvel Comics Presents (1988) #56
Werewolf By Night	Marvel Comics Presents (1988) #57
Werewolf By Night	Marvel Comics Presents (1988) #58
Werewolf By Night	Marvel Comics Presents (1988) #59
Werewolf By Night	Marvel Comics Presents (1988) #98
Werewolf By Night	Marvel Comics Presents: Wolverine Vol. 3 (Trade Paperback)
Werewolf By Night	Marvel Premiere (1972) #59
Werewolf By Night	Marvel Spotlight (1971) #2
Werewolf By Night	Marvel Spotlight (1971) #3
Werewolf By Night	Marvel Spotlight (1971) #4
Werewolf By Night	Spider-Woman (1978) #19
Werewolf By Night	Spider-Woman (1978) #32
Werewolf By Night	Strange Tales (1998) #1
Living Mummy	Captain America (1968) #361
Living Mummy	Legion of Monsters (2011) #1
Mongoose	Thor (1966) #391
Jasper Sitwell	Avengers (1998) #32
Jasper Sitwell	Avengers (1998) #33
Jasper Sitwell	Avengers (1998) #34
Jasper Sitwell	Avengers Assemble Vol. 3 (Hardcover)
Jasper Sitwell	Heroes Reborn: Iron Man (Trade Paperback)
Jasper Sitwell	Iron Man (1996) #1
Jasper Sitwell	Iron Man (1996) #2
Jasper Sitwell	Iron Man (1996) #3
Jasper Sitwell	Iron Man (1996) #4
Jasper Sitwell	Iron Man (1996) #7
Jasper Sitwell	Iron Man (1996) #8
Jasper Sitwell	Iron Man (1968) #24
Jasper Sitwell	Tales of Suspsnse Transport (1959) #93
Jasper Sitwell	Tales of Suspsnse Transport (1959) #94
Jasper Sitwell	Tales of Suspsnse Transport (1959) #95
Jasper Sitwell	Tales of Suspsnse Transport (1959) #96
Jasper Sitwell	Tales of Suspsnse Transport (1959) #97
Jasper Sitwell	Tales of Suspsnse Transport (1959) #98
Jasper Sitwell	Tales of Suspsnse Transport (1959) #99
Bug	Annihilation Classic (Hardcover)
Bug	Bug (1997) #1
X-23	Avengers Academy (2010) #23
X-23	Avengers Arena (2012) #14
X-23	Cable (2008) #6
X-23	Cable (2008) #7
X-23	Cable (2008) #7 (ZOMBIE VARIANT (1 FOR 10))
X-23	Cable (2008) #9
X-23	Cable (2008) #10
X-23	Cable (2008) #13
X-23	Cable (2008) #13 (OLIVETTI (MW, 50/50 COVER))
X-23	Cable (2008) #14
X-23	Cable (2008) #15
X-23	Cable (2008) #15 (OLIVETTI (MW, 50/50 COVER))
X-23	Daken/X-23 Collision Premiere HC (Hardcover)
